experiment,cost_ratio,C_FP,C_FN,optimal_threshold,precision,recall,alert_rate,value_recall,cost_reduction_pct
creditcard_fixed,2,4.37,8.74,0.34800000000000003,0.9302325581395349,0.8080808080808081,0.0015097784487904217,0.7222136140606723,-4.761904761904768
creditcard_fixed,5,4.37,21.85,0.113,0.794392523364486,0.8585858585858586,0.001878445279309013,0.7461129086977877,7.070707070707077
creditcard_fixed,10,4.37,43.7,0.113,0.794392523364486,0.8585858585858586,0.001878445279309013,0.7461129086977877,16.494845360824744
creditcard_fixed,25,4.37,109.25,0.113,0.794392523364486,0.8585858585858586,0.001878445279309013,0.7461129086977877,22.338204592901874
creditcard_fixed,50,4.37,218.5,0.113,0.794392523364486,0.8585858585858586,0.001878445279309013,0.7461129086977877,24.318658280922428
creditcard_fixed,100,4.37,437.0,0.113,0.794392523364486,0.8585858585858586,0.001878445279309013,0.7461129086977877,25.315126050420158
creditcard_fixed,250,4.37,1092.5,0.0052905832263605715,0.794392523364486,0.8585858585858586,0.001878445279309013,0.7461129086977877,25.915018931426168
