model,brier_raw,brier_calibrated,mean_predicted_raw,mean_predicted_calibrated,observed_fraud_rate
XGBoost (baseline),0.00038931698662562713,0.0003908698404744593,0.0015005524037405849,0.0018182421335950494,0.0017380007724447878
XGBoost (cost-sensitive),0.00038108684327783904,0.0003735306816251398,0.001594986766576767,0.0017991221975535154,0.0017380007724447878
SMOTE + XGBoost,0.0005321019030698508,0.0003501322504509148,0.002444412326440215,0.0018250785069540143,0.0017380007724447878
Logistic regression,0.0006587452348003004,0.000610823478945979,0.001864381223631672,0.0018025846763470963,0.0017380007724447878
Neural network (MLP),0.0005806775392975295,0.0005495088111827487,0.0019500714261084795,0.0017585365567356348,0.0017380007724447878
