model,threshold,TP,FP,FN,TN,precision,recall,f1,auprc,roc_auc,value_recall,alert_rate,total_cost,cost_per_1k_tx,cost_reduction_pct,experiment
No model (approve everything),,0,0,99,56863,0.0,0.0,0.0,,,0.0,0.0,9874.35,173.34977704434536,-281.88600290832585,creditcard_instance
XGBoost (baseline) @0.5,0.5,80,4,19,56859,0.9523809523809523,0.8080808080808081,0.8743169398907104,0.8398655527956997,0.9742378323089858,0.7399119942072135,0.0014746673220743653,2585.68,45.39306906358625,0.0,creditcard_instance
XGBoost (baseline) @cost-optimal,0.059,85,67,14,56796,0.5592105263157895,0.8585858585858586,0.6772908366533864,0.8398655527956997,0.9742378323089858,0.7462364611341505,0.00266844563042028,2798.54,49.129946279976124,-8.232263853222369,creditcard_instance
XGBoost (cost-sensitive) @0.5,0.5,80,4,19,56859,0.9523809523809523,0.8080808080808081,0.8743169398907104,0.851389885009382,0.9713216437096639,0.7222136140606723,0.0014746673220743653,2760.44,48.46107931603525,-6.758763652114733,creditcard_instance
XGBoost (cost-sensitive) @cost-optimal,0.113,85,22,14,56841,0.794392523364486,0.8585858585858586,0.8252427184466019,0.851389885009382,0.9713216437096639,0.7461129086977877,0.001878445279309013,2603.109999999999,45.69906253291666,-0.6740973360972503,creditcard_instance
XGBoost (instance-dependent) @0.5,0.5,82,4,17,56859,0.9534883720930233,0.8282828282828283,0.8864864864864865,0.8669094828768096,0.976069631829968,0.7429299143741106,0.0015097784487904217,2555.879999999999,44.86991327551699,1.1525014696327711,creditcard_instance
XGBoost (instance-dependent) @cost-optimal,0.16,85,10,14,56853,0.8947368421052632,0.8585858585858586,0.8762886597938144,0.8669094828768096,0.976069631829968,0.7461129086977877,0.001667778519012675,2550.669999999999,44.77844879042167,1.3539958540886992,creditcard_instance
SMOTE + XGBoost @0.5,0.5,82,4,17,56859,0.9534883720930233,0.8282828282828283,0.8864864864864865,0.8643795815699891,0.9792205685932713,0.7266635272195131,0.0015097784487904217,2716.5,47.689687862083495,-5.059404102595842,creditcard_instance
SMOTE + XGBoost @cost-optimal,0.012,86,31,13,56832,0.7350427350427351,0.8686868686868687,0.7962962962962963,0.8643795815699891,0.9792205685932713,0.7458992237463731,0.002054000912889295,2644.5499999999993,46.42656507847335,-2.276770520714065,creditcard_instance
Logistic regression @0.5,0.5,68,11,31,56852,0.8607594936708861,0.6868686868686869,0.7640449438202247,0.7502913235279886,0.970600079546143,0.6722589334994202,0.0013868895052842245,3284.3,57.65773673677188,-27.01881129915536,creditcard_instance
Logistic regression @cost-optimal,0.078,85,62,14,56801,0.5782312925170068,0.8585858585858586,0.6910569105691057,0.7502913235279886,0.970600079546143,0.7438160486513036,0.0025806678136301394,2800.59,49.16593518486008,-8.311546672442077,creditcard_instance
Neural network (MLP) @0.5,0.5,75,11,24,56852,0.872093023255814,0.7575757575757576,0.8108108108108109,0.7616275643582784,0.9237270973989051,0.5979735374986708,0.0015097784487904217,4017.82,70.5350935711527,-55.387364252343694,creditcard_instance
Neural network (MLP) @cost-optimal,0.017,87,234,12,56629,0.27102803738317754,0.8787878787878788,0.4142857142857143,0.7616275643582784,0.9237270973989051,0.7470527173940563,0.005635335837927039,3520.2699999999995,61.80032302236578,-36.14484390953249,creditcard_instance
