model,threshold,TP,FP,FN,TN,precision,recall,f1,auprc,roc_auc,value_recall,alert_rate,total_cost,cost_per_1k_tx,cost_reduction_pct,experiment
No model (approve everything),,0,0,4258,1289265,0.0,0.0,0.0,,,0.0,0.0,6702594765.360001,5181658.745426252,-838637.5946156773,paysim_instance
XGBoost (baseline) @0.5,0.5,4256,1,2,1289264,0.9997650927883486,0.9995302959135745,0.9996476805637111,0.9995316765732669,0.9997651475013882,0.9998876674890309,0.003291012220115143,799128.93,617.7925943334599,0.0,paysim_instance
XGBoost (baseline) @cost-optimal,0.52,4253,0,5,1289265,1.0,0.9988257397839361,0.9994125249676888,0.9995316765732669,0.9997651475013882,0.999886585320072,0.003287919890098591,760172.6399999999,587.6761681083366,4.874844163131493,paysim_instance
XGBoost (cost-sensitive) @0.5,0.5,4248,0,10,1289265,1.0,0.9976514795678723,0.9988243592758053,0.9981273683143309,0.9990605918271489,0.9998844217385774,0.0032840544775779015,774674.25,598.8871090811682,3.0601670246126678,paysim_instance
XGBoost (cost-sensitive) @cost-optimal,0.914,4248,0,10,1289265,1.0,0.9976514795678723,0.9988243592758053,0.9981273683143309,0.9990605918271489,0.9998844217385774,0.0032840544775779015,774674.25,598.8871090811682,3.0601670246126678,paysim_instance
XGBoost (instance-dependent) @0.5,0.5,4240,3,18,1289262,0.9992929530992223,0.9957726632221701,0.9975297023879544,0.9995128422381951,0.9997651077905875,0.9998865707093125,0.003280189065057212,898899.4600000001,694.9234455050279,-12.484910288506265,paysim_instance
XGBoost (instance-dependent) @cost-optimal,0.402,4241,3,17,1289262,0.9992931196983977,0.9960075152653828,0.9976476123265114,0.9995128422381951,0.9997651077905875,0.9998865707093125,0.00328096214756135,898899.4600000001,694.9234455050279,-12.484910288506265,paysim_instance
Logistic regression @0.5,0.5,2157,72,2101,1289193,0.9676985195154778,0.5065758572099577,0.665022352397102,0.7346652739825232,0.9810891976590659,0.9264115720438444,0.0017232009017234327,496560505.37000006,383882.2389474328,-62037.721052096065,paysim_instance
Logistic regression @cost-optimal,0.14,2635,508,1623,1288757,0.8383709831371301,0.6188351338656646,0.7120659370355358,0.7346652739825232,0.9810891976590659,0.9480698383991731,0.0024297983105054954,371541321.3499999,287232.09509997105,-46393.28880509931,paysim_instance
