model,threshold,TP,FP,FN,TN,precision,recall,f1,auprc,roc_auc,value_recall,alert_rate,total_cost,cost_per_1k_tx,cost_reduction_pct,experiment
No model (approve everything),,0,0,99,56863,0.0,0.0,0.0,,,0.0,0.0,12659.925355932206,222.25212169397503,-417.33077025433175,creditcard_fixed
XGBoost (baseline) @0.5,0.5,80,4,19,56859,0.9523809523809523,0.8080808080808081,0.8743169398907104,0.8398655527956997,0.9742378323089858,0.7399119942072135,0.0014746673220743653,2447.162644067797,42.961318845331924,0.0,creditcard_fixed
XGBoost (baseline) @cost-optimal,0.059,85,67,14,56796,0.5592105263157895,0.8585858585858586,0.6772908366533864,0.8398655527956997,0.9742378323089858,0.7462364611341505,0.00266844563042028,2083.0824745762716,36.56968636242182,14.877644948287251,creditcard_fixed
XGBoost (cost-sensitive) @0.5,0.5,80,4,19,56859,0.9523809523809523,0.8080808080808081,0.8743169398907104,0.851389885009382,0.9713216437096639,0.7222136140606723,0.0014746673220743653,2447.1626440677974,42.96131884533193,-1.8582636997537694e-14,creditcard_fixed
XGBoost (cost-sensitive) @cost-optimal,0.113,85,22,14,56841,0.794392523364486,0.8585858585858586,0.8252427184466019,0.851389885009382,0.9713216437096639,0.7461129086977877,0.001878445279309013,1886.4324745762717,33.11738482806558,22.91348189916185,creditcard_fixed
SMOTE + XGBoost @0.5,0.5,82,4,17,56859,0.9534883720930233,0.8282828282828283,0.8864864864864865,0.8643795815699891,0.9792205685932713,0.7266635272195131,0.0015097784487904217,2191.406576271187,38.47137699292839,10.451126671804667,creditcard_fixed
SMOTE + XGBoost @cost-optimal,0.012,86,31,13,56832,0.7350427350427351,0.8686868686868687,0.7962962962962963,0.8643795815699891,0.9792205685932713,0.7458992237463731,0.002054000912889295,1797.8844406779667,31.562874208735064,26.531877844889266,creditcard_fixed
Logistic regression @0.5,0.5,68,11,31,56852,0.8607594936708861,0.6868686868686869,0.7640449438202247,0.7502913235279886,0.970600079546143,0.6722589334994202,0.0013868895052842245,4012.289050847459,70.43799464287522,-63.956779112075274,creditcard_fixed
Logistic regression @cost-optimal,0.078,85,62,14,56801,0.5782312925170068,0.8585858585858586,0.6910569105691057,0.7502913235279886,0.970600079546143,0.7438160486513036,0.0025806678136301394,2061.2324745762717,36.1860973030489,15.770515720606648,creditcard_fixed
Neural network (MLP) @0.5,0.5,75,11,24,56852,0.872093023255814,0.7575757575757576,0.8108108108108109,0.7616275643582784,0.9237270973989051,0.5979735374986708,0.0015097784487904217,3117.142813559323,54.72319815946285,-27.37783576075888,creditcard_fixed
Neural network (MLP) @cost-optimal,0.017,87,234,12,56629,0.27102803738317754,0.8787878787878788,0.4142857142857143,0.7616275643582784,0.9237270973989051,0.7470527173940563,0.005635335837927039,2557.1164067796612,44.89161909307365,-4.493112175376036,creditcard_fixed
