model,brier_raw,brier_calibrated,mean_predicted_raw,mean_predicted_calibrated,observed_fraud_rate
XGBoost (baseline),2.8327281549046874e-06,2.4913538586885964e-06,0.003289185930043459,0.0032889654394239187,0.003291785302619281
XGBoost (cost-sensitive),2.221102733722313e-06,7.035156008935853e-06,0.0032965049613267183,0.0032844673842191696,0.003291785302619281
Logistic regression,0.0016636659882126724,0.0015134391472274742,0.0018485704948039033,0.0019696488346522575,0.003291785302619281
